time_start,time_end,camera_id,previous_state,new_state,duration_seconds,people_ids
09:00:00.08,09:01:34.20,cam2,unstaffed,staffed,94.12,
09:01:34.20,09:01:35.88,cam2,staffed,unstaffed,1.68,
09:01:35.88,09:02:21.60,cam2,unstaffed,staffed,45.72,
09:02:21.60,09:02:22.32,cam2,staffed,unstaffed,0.72,
09:02:22.32,09:02:22.44,cam2,unstaffed,staffed,0.12,
09:02:22.44,09:02:22.80,cam2,staffed,unstaffed,0.36,
09:02:22.80,09:02:38.28,cam2,unstaffed,staffed,15.48,
09:02:38.28,09:02:40.44,cam2,staffed,unstaffed,2.16,
09:02:40.44,09:02:48.36,cam2,unstaffed,staffed,7.92,w3
09:02:48.36,09:02:53.60,cam2,staffed,unstaffed,5.24,w3
09:02:53.60,09:02:53.96,cam2,unstaffed,staffed,0.36,w3
09:02:53.96,09:02:55.40,cam2,staffed,unstaffed,1.44,w3
09:02:55.40,09:02:55.52,cam2,unstaffed,staffed,0.12,w3
09:02:55.52,09:02:56.96,cam2,staffed,unstaffed,1.44,w3
09:02:56.96,09:03:04.68,cam2,unstaffed,staffed,7.72,w3
09:03:04.68,09:03:05.76,cam2,staffed,unstaffed,1.08,w3
09:03:05.76,09:03:07.08,cam2,unstaffed,staffed,1.32,w3
09:03:07.08,09:03:07.32,cam2,staffed,unstaffed,0.24,w3
09:03:07.32,09:03:08.64,cam2,unstaffed,staffed,1.32,w3
09:03:08.64,09:03:09.00,cam2,staffed,unstaffed,0.36,w3
09:03:09.00,09:03:11.16,cam2,unstaffed,staffed,2.16,w3
09:03:11.16,09:03:11.28,cam2,staffed,unstaffed,0.12,w3
09:03:11.28,09:03:11.88,cam2,unstaffed,staffed,0.6,w3
09:03:11.88,09:03:12.84,cam2,staffed,unstaffed,0.96,w3
09:03:12.84,09:03:16.68,cam2,unstaffed,staffed,3.84,
09:03:16.68,09:03:17.16,cam2,staffed,unstaffed,0.48,
09:03:17.16,09:03:17.40,cam2,unstaffed,staffed,0.24,
09:03:17.40,09:03:19.08,cam2,staffed,unstaffed,1.68,w1
09:03:19.08,09:03:19.20,cam2,unstaffed,staffed,0.12,w1
09:03:19.20,09:03:20.16,cam2,staffed,unstaffed,0.96,w1
09:03:20.16,09:03:20.28,cam2,unstaffed,staffed,0.12,w1
09:03:20.28,09:03:23.40,cam2,staffed,unstaffed,3.12,w1
09:03:23.40,09:03:27.52,cam2,unstaffed,staffed,4.12,w1
09:03:27.52,09:03:28.36,cam2,staffed,unstaffed,0.84,w1
09:03:28.36,09:03:28.48,cam2,unstaffed,staffed,0.12,w1
09:03:28.48,09:03:30.52,cam2,staffed,unstaffed,2.04,w1
09:03:30.52,09:03:31.00,cam2,unstaffed,staffed,0.48,w1
09:03:31.00,09:03:32.68,cam2,staffed,unstaffed,1.68,w1
09:03:32.68,09:03:32.80,cam2,unstaffed,staffed,0.12,w1
09:03:32.80,09:03:34.72,cam2,staffed,unstaffed,1.92,
09:03:34.72,09:04:13.56,cam2,unstaffed,staffed,38.84,
09:04:13.56,09:04:14.40,cam2,staffed,unstaffed,0.84,
09:04:14.40,09:04:14.52,cam2,unstaffed,staffed,0.12,
09:04:14.52,09:04:14.76,cam2,staffed,unstaffed,0.24,
09:04:14.76,09:04:14.88,cam2,unstaffed,staffed,0.12,
09:04:14.88,09:04:15.12,cam2,staffed,unstaffed,0.24,
09:04:15.12,09:04:15.24,cam2,unstaffed,staffed,0.12,
09:04:15.24,09:04:15.36,cam2,staffed,unstaffed,0.12,
09:04:15.36,09:05:54.08,cam2,unstaffed,staffed,98.72,
09:05:54.08,09:05:56.00,cam2,staffed,unstaffed,1.92,
09:05:56.00,09:06:18.48,cam2,unstaffed,staffed,22.48,
09:06:18.48,09:06:18.72,cam2,staffed,unstaffed,0.24,
09:06:18.72,09:06:18.84,cam2,unstaffed,staffed,0.12,
09:06:18.84,09:06:20.88,cam2,staffed,unstaffed,2.04,
09:06:20.88,09:06:21.00,cam2,unstaffed,staffed,0.12,
09:06:21.00,09:06:21.12,cam2,staffed,unstaffed,0.12,
09:06:21.12,09:07:24.68,cam2,unstaffed,staffed,63.56,
09:07:24.68,09:07:25.04,cam2,staffed,unstaffed,0.36,
09:07:25.04,09:07:25.64,cam2,unstaffed,staffed,0.6,
09:07:25.64,09:07:26.84,cam2,staffed,unstaffed,1.2,
09:07:26.84,09:07:41.04,cam2,unstaffed,staffed,14.2,
09:07:41.04,09:07:43.80,cam2,staffed,unstaffed,2.76,w1
09:07:43.80,09:07:46.44,cam2,unstaffed,staffed,2.64,
09:07:46.44,09:07:46.92,cam2,staffed,unstaffed,0.48,
09:07:46.92,09:07:47.04,cam2,unstaffed,staffed,0.12,
09:07:47.04,09:07:48.12,cam2,staffed,unstaffed,1.08,
09:07:48.12,09:08:02.04,cam2,unstaffed,staffed,13.92,
09:08:02.04,09:08:03.72,cam2,staffed,unstaffed,1.68,
09:08:03.72,09:08:35.40,cam2,unstaffed,staffed,31.68,
09:08:35.40,09:08:36.72,cam2,staffed,unstaffed,1.32,
09:08:36.72,09:08:37.84,cam2,unstaffed,staffed,1.12,
09:08:37.84,09:08:41.24,cam2,staffed,unstaffed,3.4,w1
09:08:41.24,09:08:41.36,cam2,unstaffed,staffed,0.12,
09:08:41.36,09:08:41.72,cam2,staffed,unstaffed,0.36,
09:08:41.72,09:08:41.84,cam2,unstaffed,staffed,0.12,
09:08:41.84,09:08:42.56,cam2,staffed,unstaffed,0.72,
09:08:42.56,09:08:42.68,cam2,unstaffed,staffed,0.12,
09:08:42.68,09:08:43.04,cam2,staffed,unstaffed,0.36,
09:08:43.04,09:08:43.16,cam2,unstaffed,staffed,0.12,
09:08:43.16,09:08:43.52,cam2,staffed,unstaffed,0.36,
09:08:43.52,09:08:44.12,cam2,unstaffed,staffed,0.6,
09:08:44.12,09:08:44.72,cam2,staffed,unstaffed,0.6,
09:08:44.72,09:08:44.96,cam2,unstaffed,staffed,0.24,
09:08:44.96,09:08:47.40,cam2,staffed,unstaffed,2.44,
09:08:47.40,09:08:47.52,cam2,unstaffed,staffed,0.12,
09:08:47.52,09:08:52.56,cam2,staffed,unstaffed,5.04,w1
09:08:52.56,09:08:52.80,cam2,unstaffed,staffed,0.24,
09:08:52.80,09:08:52.92,cam2,staffed,unstaffed,0.12,
09:08:52.92,09:08:53.04,cam2,unstaffed,staffed,0.12,
09:08:53.04,09:08:53.28,cam2,staffed,unstaffed,0.24,
09:08:53.28,09:08:54.36,cam2,unstaffed,staffed,1.08,
09:08:54.36,09:08:56.88,cam2,staffed,unstaffed,2.52,
09:08:56.88,09:09:22.80,cam2,unstaffed,staffed,25.92,
09:09:22.80,09:09:25.20,cam2,staffed,unstaffed,2.4,
09:09:25.20,09:11:54.72,cam2,unstaffed,staffed,149.52,
09:11:54.72,09:11:56.16,cam2,staffed,unstaffed,1.44,
09:11:56.16,09:13:16.36,cam2,unstaffed,staffed,80.2,
09:13:16.36,09:13:17.20,cam2,staffed,unstaffed,0.84,
09:13:17.20,09:13:17.32,cam2,unstaffed,staffed,0.12,
09:13:17.32,09:13:17.56,cam2,staffed,unstaffed,0.24,
09:13:17.56,09:13:17.68,cam2,unstaffed,staffed,0.12,
09:13:17.68,09:13:18.04,cam2,staffed,unstaffed,0.36,
09:13:18.04,09:14:02.32,cam2,unstaffed,staffed,44.28,
09:14:02.32,09:14:02.92,cam2,staffed,unstaffed,0.6,
09:14:02.92,09:14:03.52,cam2,unstaffed,staffed,0.6,
09:14:03.52,09:14:06.56,cam2,staffed,unstaffed,3.04,
09:14:06.56,09:14:07.28,cam2,unstaffed,staffed,0.72,
09:14:07.28,09:14:07.40,cam2,staffed,unstaffed,0.12,
09:14:07.40,09:14:07.64,cam2,unstaffed,staffed,0.24,
09:14:07.64,09:14:07.76,cam2,staffed,unstaffed,0.12,
09:14:07.76,09:14:15.56,cam2,unstaffed,staffed,7.8,
09:14:15.56,09:14:20.48,cam2,staffed,unstaffed,4.92,w1
09:14:20.48,09:14:20.60,cam2,unstaffed,staffed,0.12,
09:14:20.60,09:14:23.60,cam2,staffed,unstaffed,3.0,
09:14:23.60,09:14:24.08,cam2,unstaffed,staffed,0.48,
09:14:24.08,09:14:26.00,cam2,staffed,unstaffed,1.92,
09:14:26.00,09:14:44.48,cam2,unstaffed,staffed,18.48,
09:14:44.48,09:14:44.84,cam2,staffed,unstaffed,0.36,
09:14:44.84,09:14:45.32,cam2,unstaffed,staffed,0.48,
09:14:45.32,09:14:46.16,cam2,staffed,unstaffed,0.84,
09:14:46.16,09:15:01.32,cam2,unstaffed,staffed,15.16,
09:15:01.32,09:15:02.52,cam2,staffed,unstaffed,1.2,
09:15:02.52,09:15:03.00,cam2,unstaffed,staffed,0.48,
09:15:03.00,09:15:03.24,cam2,staffed,unstaffed,0.24,
09:15:03.24,09:15:07.08,cam2,unstaffed,staffed,3.84,
09:15:07.08,09:15:10.48,cam2,staffed,unstaffed,3.4,
09:15:10.48,09:15:10.60,cam2,unstaffed,staffed,0.12,
09:15:10.60,09:15:13.12,cam2,staffed,unstaffed,2.52,
09:15:13.12,09:15:21.40,cam2,unstaffed,staffed,8.28,
09:15:21.40,09:15:22.36,cam2,staffed,unstaffed,0.96,
09:15:22.36,09:15:22.72,cam2,unstaffed,staffed,0.36,
09:15:22.72,09:15:22.84,cam2,staffed,unstaffed,0.12,
09:15:22.84,09:15:23.92,cam2,unstaffed,staffed,1.08,
09:15:23.92,09:15:25.96,cam2,staffed,unstaffed,2.04,
09:15:25.96,09:15:26.08,cam2,unstaffed,staffed,0.12,
09:15:26.08,09:15:51.52,cam2,staffed,unstaffed,25.44,w1
