time_enter,time_exit,camera_id,person_id,role,identity,dwell_seconds
09:00:47.83,09:01:34.17,cam1,P0007,worker,w1,46.4
09:01:13.10,09:01:49.37,cam1,P0010,worker,w1,36.3
09:01:58.53,09:02:20.36,cam1,P0033,worker,w3,21.8
09:01:34.17,09:02:21.32,cam3,P0030,worker,w3,47.1
09:01:39.81,09:02:12.48,cam3,P0038,worker,w1,32.7
09:01:52.49,09:02:34.28,cam3,P0049,worker,w1,41.8
09:02:06.88,09:02:53.91,cam3,P0059,worker,w3,47.0
09:02:38.28,09:03:22.92,cam2,P0050,worker,w3,44.6
09:02:37.83,09:03:35.26,cam3,P0065,worker,w1,57.4
09:02:44.67,09:03:40.14,cam3,P0068,worker,w1,55.5
09:03:12.72,09:03:43.56,cam2,P0062,worker,w1,30.8
09:03:34.06,09:03:48.53,cam1,P0069,worker,w1,14.5
09:02:50.07,09:03:58.01,cam3,P0073,worker,w1,67.9
09:02:55.39,09:04:07.21,cam3,P0076,worker,w3,71.8
09:03:06.99,09:04:07.85,cam3,P0082,worker,w1,60.9
09:03:11.18,09:04:23.96,cam3,P0084,worker,w1,72.8
09:03:16.94,09:04:45.56,cam3,P0088,worker,w1,88.6
09:03:27.10,09:04:36.20,cam3,P0094,worker,w1,69.1
09:04:39.20,09:04:57.95,cam1,P0093,worker,w3,18.8
09:03:30.78,09:06:04.53,cam3,P0101,worker,w3,153.8
09:04:16.93,09:06:19.53,cam3,P0105,worker,w1,122.6
09:04:28.76,09:05:47.66,cam3,P0107,worker,w1,78.9
09:05:09.59,09:06:36.25,cam3,P0121,worker,w1,86.7
09:05:18.31,09:07:11.99,cam3,P0123,worker,w1,113.7
09:08:29.21,09:08:42.61,cam1,P0126,worker,w1,13.4
09:05:48.98,09:08:42.85,cam3,P0127,worker,w1,173.9
09:07:41.04,09:09:26.72,cam2,P0133,worker,w1,105.7
09:05:53.42,09:09:32.91,cam3,P0128,worker,w3,219.5
09:08:37.84,09:10:38.24,cam2,P0146,worker,w1,120.4
09:08:47.52,09:10:59.12,cam2,P0156,worker,w1,131.6
09:06:24.05,09:11:14.04,cam3,P0142,worker,w1,290.0
09:07:24.23,09:11:45.08,cam3,P0163,worker,w1,260.8
09:07:45.94,09:10:09.42,cam3,P0168,worker,w3,143.5
09:08:02.38,09:10:22.26,cam3,P0170,worker,w1,139.9
09:13:18.05,09:13:33.08,cam1,P0179,worker,w1,15.0
09:08:44.73,09:12:10.27,cam3,P0177,worker,w1,205.5
09:14:46.06,09:15:00.46,cam1,P0201,worker,w1,14.4
09:10:21.98,09:13:38.08,cam3,P0211,worker,w3,196.1
09:02:42.03,09:13:38.80,cam3,P0067,worker,w1,656.8
09:14:15.56,09:16:38.88,cam2,P0223,worker,w1,143.3
09:17:31.37,09:17:54.77,cam1,P0241,worker,w1,23.4
09:15:26.08,09:18:55.40,cam2,P0263,worker,w1,209.3
09:18:52.79,09:19:05.63,cam1,P0267,worker,w1,12.8
09:15:56.68,09:19:09.44,cam2,P0272,worker,w1,192.8
09:11:54.47,09:16:22.15,cam3,P0262,worker,w3,267.7
09:19:29.26,09:19:47.17,cam1,P0278,worker,w1,17.9
09:12:46.42,09:20:20.69,cam3,P0281,worker,w1,454.3
09:20:35.88,09:20:49.16,cam1,P0298,worker,w1,13.3
09:20:21.64,09:20:50.23,cam1,P0294,worker,w3,28.6
09:17:54.76,09:21:26.12,cam2,P0309,worker,w1,211.4
09:14:03.88,09:18:11.00,cam3,P0308,worker,w1,247.1
09:14:23.87,09:22:03.74,cam3,P0320,worker,w3,459.9
09:14:35.99,09:22:15.73,cam3,P0323,worker,w1,459.8
09:15:07.02,09:23:17.03,cam3,P0337,worker,w3,490.0
09:23:19.91,09:23:33.23,cam1,P0354,worker,w1,13.3
09:15:24.45,09:23:36.23,cam3,P0352,worker,w1,491.8
09:15:42.45,09:20:32.56,cam3,P0357,worker,w1,290.1
09:15:54.68,09:24:01.30,cam3,P0359,worker,w3,486.6
09:20:45.68,09:24:18.76,cam2,P0362,worker,w1,213.1
09:15:59.84,09:24:23.50,cam3,P0363,worker,w1,503.6
09:21:02.36,09:24:26.68,cam2,P0365,worker,w1,204.3
09:16:18.56,09:24:34.77,cam3,P0367,worker,w1,496.2
09:16:24.91,09:24:57.81,cam3,P0369,worker,w1,512.9
09:16:38.47,09:25:07.88,cam3,P0370,worker,w1,509.4
09:16:47.59,09:21:58.78,cam3,P0375,worker,w1,311.2
09:17:05.98,09:22:12.09,cam3,P0381,worker,w1,306.1
09:17:13.66,09:22:25.13,cam3,P0382,worker,w1,311.5
09:17:21.50,09:26:08.22,cam3,P0384,worker,w1,526.7
09:17:24.66,09:22:34.29,cam3,P0386,worker,w1,309.6
09:22:37.88,09:26:41.40,cam2,P0390,worker,w1,243.5
09:17:46.89,09:26:58.81,cam3,P0395,worker,w1,551.9
09:17:53.21,09:23:01.12,cam3,P0401,worker,w1,307.9
09:27:40.20,09:27:52.35,cam1,P0410,worker,w1,12.2
09:23:37.76,09:27:52.84,cam2,P0410,worker,w1,255.1
09:23:36.12,09:28:06.52,cam2,P0415,worker,w1,270.4
09:28:29.42,09:28:42.14,cam1,P0422,worker,w1,12.7
09:24:10.44,09:28:55.36,cam2,P0430,worker,w1,284.9
09:28:43.94,09:29:00.85,cam1,P0426,worker,w1,16.9
09:24:19.12,09:29:01.36,cam2,P0426,worker,w1,282.2
09:24:29.40,09:29:29.08,cam2,P0439,worker,w1,299.7
09:18:57.39,09:24:41.45,cam3,P0431,worker,w1,344.1
09:19:44.02,09:30:15.35,cam3,P0451,worker,w1,631.3
09:24:54.88,09:30:17.20,cam2,P0448,worker,w1,322.3
09:30:13.67,09:30:30.39,cam1,P0452,worker,w1,16.7
09:25:06.80,09:30:31.52,cam2,P0456,worker,w1,324.7
09:20:09.17,09:30:58.82,cam3,P0463,worker,w3,649.6
09:20:25.68,09:31:18.85,cam3,P0473,worker,w1,653.2
09:20:43.40,09:26:45.17,cam3,P0485,worker,w3,361.8
09:20:59.39,09:27:04.01,cam3,P0495,worker,w1,364.6
09:21:04.95,09:32:47.99,cam3,P0501,worker,w1,703.0
09:27:53.72,09:33:02.36,cam2,P0510,worker,w1,308.6
09:28:26.32,09:33:37.24,cam2,P0517,worker,w1,310.9
09:21:52.94,09:33:54.69,cam3,P0514,worker,w3,721.8
09:28:52.68,09:33:56.60,cam2,P0518,worker,w1,303.9
09:22:16.89,09:34:03.93,cam3,P0520,worker,w1,707.0
09:22:25.29,09:34:22.88,cam3,P0524,worker,w1,717.6
09:22:30.57,09:34:39.56,cam3,P0525,worker,w1,729.0
09:29:26.76,09:34:58.40,cam2,P0530,worker,w1,331.6
09:29:34.92,09:35:12.92,cam2,P0533,worker,w1,338.0
09:30:34.12,09:36:28.48,cam2,P0550,worker,w1,354.4
09:30:48.72,09:36:33.28,cam2,P0560,worker,w1,344.6
09:23:47.27,09:31:10.26,cam3,P0559,worker,w1,443.0
09:23:55.02,09:31:11.70,cam3,P0564,worker,w3,436.7
09:24:19.74,09:37:27.55,cam3,P0585,worker,w1,787.8
09:31:58.96,09:37:41.88,cam2,P0590,worker,w1,342.9
09:24:45.49,09:38:10.38,cam3,P0598,worker,w1,804.9
09:24:47.85,09:32:28.71,cam3,P0600,worker,w1,460.9
09:24:18.78,09:38:20.85,cam3,P0584,worker,w3,842.1
09:24:55.33,09:38:34.41,cam3,P0604,worker,w1,819.1
09:32:58.12,09:38:57.08,cam2,P0618,worker,w3,359.0
09:33:04.88,09:39:05.84,cam2,P0620,worker,w1,361.0
09:25:52.51,09:33:33.98,cam3,P0626,worker,w2,461.5
09:25:44.07,09:39:45.15,cam3,P0624,worker,w1,841.1
09:34:08.04,09:40:16.44,cam2,P0641,worker,w4,368.4
09:27:47.64,09:35:42.58,cam3,P0665,worker,w3,474.9
09:35:47.68,09:42:41.16,cam2,P0671,worker,w1,413.5
09:27:58.43,09:42:47.49,cam3,P0670,worker,w1,889.1
09:28:19.43,09:36:12.53,cam3,P0676,worker,w1,473.1
09:36:43.28,09:43:31.04,cam2,P0688,customer,unknown,407.8
09:28:52.86,09:43:38.56,cam3,P0696,worker,w1,885.7
09:29:03.25,09:43:43.36,cam3,P0699,worker,w1,880.1
09:29:06.49,09:43:52.96,cam3,P0701,worker,w1,886.5
09:29:15.73,09:44:21.63,cam3,P0707,worker,w1,905.9
09:29:36.12,09:44:30.86,cam3,P0720,worker,w1,894.7
09:37:23.80,09:44:33.72,cam2,P0717,worker,w1,429.9
09:37:32.56,09:44:40.08,cam2,P0723,worker,w3,427.5
09:44:28.82,09:44:45.18,cam1,P0721,worker,w1,16.4
09:29:39.84,09:37:45.74,cam3,P0722,worker,w1,485.9
09:44:46.62,09:44:59.29,cam1,P0727,worker,w1,12.7
09:30:22.43,09:45:26.65,cam3,P0734,worker,w1,904.2
09:30:30.95,09:45:48.08,cam3,P0743,worker,w3,917.1
09:30:41.43,09:45:54.16,cam3,P0746,worker,w1,912.7
09:30:50.10,09:38:44.17,cam3,P0753,worker,w1,474.1
09:45:53.04,09:46:20.51,cam1,P0748,worker,w1,27.5
09:38:55.64,09:46:21.32,cam2,P0748,worker,w1,445.7
09:30:54.18,09:39:01.20,cam3,P0754,worker,w1,487.0
09:39:03.68,09:46:30.64,cam2,P0762,worker,w1,447.0
09:46:26.39,09:46:46.02,cam1,P0761,worker,w1,19.6
09:31:37.01,09:46:59.42,cam3,P0776,worker,w1,922.4
09:46:27.87,09:47:03.74,cam1,P0763,worker,w1,35.9
09:39:40.20,09:47:18.80,cam2,P0783,worker,w1,458.6
09:31:50.77,09:47:20.50,cam3,P0786,worker,w1,929.7
09:47:06.61,09:47:42.12,cam1,P0782,worker,w1,35.5
09:32:02.28,09:47:48.85,cam3,P0795,worker,w1,946.6
09:32:19.72,09:40:32.41,cam3,P0811,worker,w3,492.7
09:32:37.03,09:41:07.80,cam3,P0817,worker,w1,510.8
09:48:34.43,09:48:54.34,cam1,P0818,worker,w1,19.9
09:32:57.51,09:41:24.00,cam3,P0823,worker,w3,506.5
09:32:09.20,09:49:20.50,cam3,P0800,worker,w3,1031.3
09:41:58.56,09:50:12.24,cam2,P0839,worker,w2,493.7
