time_start,time_end,camera_id,worker_id,customer_id,duration_seconds
09:02:49.20,09:02:51.60,cam2,w3,P0055,2.4
09:22:45.92,09:22:46.68,cam2,w1,P0393,0.76
09:24:12.96,09:24:13.68,cam2,w1,P0432,0.72
09:24:14.04,09:24:16.08,cam2,w1,P0434,2.04
09:41:49.52,09:41:51.52,cam2,w1,P0836,2.0
09:41:53.44,09:41:58.20,cam2,w1,P0837,4.76
09:41:58.56,09:42:01.04,cam2,w1,P0839,2.48
09:42:02.48,09:42:04.60,cam2,w1,P0840,2.12
09:42:06.32,09:42:06.96,cam2,w1,P0844,0.64
10:38:10.40,10:38:12.44,cam2,w3,P2407,2.04
10:38:12.84,10:38:13.96,cam2,w3,P2411,1.12
10:38:14.68,10:38:16.28,cam2,w3,P2413,1.6
10:38:18.04,10:38:24.40,cam2,w3,P2417,6.36
10:46:04.60,10:46:05.36,cam2,w1,P2589,0.76
10:46:07.68,10:46:09.40,cam2,w1,P2592,1.72
10:46:10.28,10:46:11.00,cam2,w2,P2595,0.72
10:46:13.88,10:46:15.96,cam2,w2,P2598,2.08
10:46:17.24,10:46:18.28,cam2,w1,P2601,1.04
10:46:18.52,10:46:20.96,cam2,w1,P2603,2.44
10:46:22.64,10:46:23.36,cam2,w1,P2605,0.72
10:46:23.72,10:46:24.56,cam2,w1,P2606,0.84
10:46:24.80,10:46:26.48,cam2,w1,P2607,1.68
10:54:13.28,10:54:14.00,cam2,w3,P2697,0.72
10:55:44.24,10:55:45.44,cam2,w1,P2762,1.2
10:59:40.08,10:59:40.84,cam2,w1,P2878,0.76
11:17:10.48,11:17:23.80,cam2,w3,P3563,13.32
11:17:26.88,11:17:27.96,cam2,w1,P3576,1.08
11:27:37.16,11:27:38.12,cam2,w3,P3819,0.96
11:27:47.96,11:27:49.28,cam2,w3,P3828,1.32
11:27:53.00,11:27:53.96,cam2,w1,P3832,0.96
11:27:54.44,11:27:55.76,cam2,w1,P3833,1.32
11:29:16.00,11:29:18.44,cam2,w1,P3866,2.44
11:45:08.36,11:45:09.44,cam2,w1,P4355,1.08
11:45:17.24,11:45:18.00,cam2,w1,P4358,0.76
11:45:18.48,11:45:19.80,cam2,w1,P4360,1.32
11:46:00.24,11:46:01.12,cam2,w1,P4390,0.88
11:56:01.84,11:56:03.32,cam2,w1,P4717,1.48
11:59:30.72,11:59:32.84,cam2,w2,P4835,2.12
11:59:31.84,11:59:33.12,cam2,w2,P4838,1.28
11:59:38.28,11:59:40.56,cam2,w2,P4842,2.28
11:59:44.36,11:59:44.96,cam2,w1,P4846,0.6
11:59:48.80,11:59:50.76,cam2,w2,P4851,1.96
11:59:53.12,11:59:55.20,cam2,w2,P4855,2.08
11:59:57.60,12:00:00.12,cam2,w2,P4859,2.52
12:00:14.40,12:00:16.88,cam2,w2,P4873,2.48
12:00:24.40,12:00:29.72,cam2,w2,P4879,5.32
12:00:56.08,12:00:58.56,cam2,w2,P4904,2.48
12:01:10.32,12:01:12.80,cam2,w2,P4913,2.48
12:01:56.88,12:01:58.80,cam2,w2,P4944,1.92
12:01:59.28,12:02:04.40,cam2,w2,P4949,5.12
12:02:07.32,12:02:10.96,cam2,w2,P4955,3.64
12:02:13.32,12:02:15.44,cam2,w2,P4961,2.12
12:02:15.84,12:02:17.48,cam2,w2,P4963,1.64
12:02:21.00,12:02:22.60,cam2,w2,P4966,1.6
12:02:23.76,12:02:26.24,cam2,w2,P4968,2.48
12:02:30.96,12:02:33.36,cam2,w2,P4972,2.4
12:05:17.68,12:05:20.00,cam2,w2,P5100,2.32
12:05:20.92,12:05:21.52,cam2,w2,P5103,0.6
12:05:23.48,12:05:24.20,cam2,w2,P5106,0.72
12:05:32.44,12:05:33.08,cam2,w2,P5116,0.64
12:05:40.16,12:05:41.96,cam2,w2,P5122,1.8
12:06:27.48,12:06:29.40,cam2,w2,P5135,1.92
12:07:11.36,12:07:12.20,cam2,w2,P5160,0.84
12:10:34.88,12:10:37.32,cam2,w2,P5270,2.44
12:10:40.44,12:10:41.08,cam2,w3,P5275,0.64
12:10:41.56,12:10:42.88,cam2,w1,P5275,1.32
12:11:31.92,12:11:34.48,cam2,w1,P5298,2.56
12:11:51.44,12:11:52.32,cam2,w1,P5319,0.88
12:11:52.92,12:11:54.12,cam2,w1,P5321,1.2
12:13:42.64,12:13:45.12,cam2,w1,P5375,2.48
12:13:49.84,12:13:52.36,cam2,w1,P5378,2.52
12:15:01.32,12:15:03.76,cam2,w2,P5406,2.44
12:15:47.76,12:15:49.20,cam2,w2,P5439,1.44
12:15:50.28,12:15:51.84,cam2,w4,P5440,1.56
12:15:57.76,12:15:58.48,cam2,w2,P5445,0.72
12:15:58.76,12:16:00.56,cam2,w2,P5446,1.8
12:16:01.04,12:16:03.48,cam2,w2,P5447,2.44
12:16:05.20,12:16:06.24,cam2,w2,P5449,1.04
12:16:11.96,12:16:13.64,cam2,w2,P5456,1.68
12:16:14.52,12:16:16.92,cam2,w2,P5457,2.4
12:16:21.92,12:16:24.36,cam2,w2,P5458,2.44
12:19:11.80,12:19:12.52,cam2,w2,P5566,0.72
12:19:14.44,12:19:15.40,cam2,w2,P5567,0.96
12:19:14.68,12:19:18.48,cam2,w2,P5568,3.8
12:19:23.40,12:19:24.00,cam2,w2,P5579,0.6
12:19:31.00,12:19:32.88,cam2,w2,P5586,1.88
12:20:18.44,12:20:20.36,cam2,w2,P5620,1.92
12:24:26.04,12:24:27.40,cam2,w1,P5823,1.36
12:24:28.64,12:24:31.08,cam2,w3,P5825,2.44
12:24:32.28,12:24:35.52,cam2,w2,P5826,3.24
12:25:22.64,12:25:25.12,cam2,w3,P5846,2.48
12:25:36.16,12:25:36.92,cam2,w3,P5854,0.76
12:25:41.72,12:25:43.28,cam2,w3,P5858,1.56
12:25:43.76,12:25:45.08,cam2,w3,P5860,1.32
12:27:33.56,12:27:35.48,cam2,w1,P5932,1.92
12:27:36.08,12:27:38.24,cam2,w4,P5935,2.16
12:27:40.00,12:27:42.44,cam2,w1,P5941,2.44
12:37:53.56,12:37:55.12,cam2,w3,P6414,1.56
12:41:55.92,12:41:58.32,cam2,w1,P6602,2.4
12:42:04.24,12:42:05.56,cam2,w1,P6612,1.32
12:42:05.80,12:42:08.28,cam2,w1,P6613,2.48
12:42:14.40,12:42:15.40,cam2,w3,P6625,1.0
12:42:17.12,12:42:19.56,cam2,w3,P6631,2.44
12:43:21.20,12:43:21.80,cam2,w1,P6689,0.6
12:45:21.96,12:45:23.76,cam2,w1,P6792,1.8
12:45:27.64,12:45:28.48,cam2,w1,P6800,0.84
12:50:01.84,12:50:04.24,cam2,w3,P6977,2.4
12:50:24.52,12:50:25.48,cam2,w1,P6994,0.96
12:51:01.40,12:51:04.40,cam2,w1,P7012,3.0
12:51:14.08,12:51:16.48,cam2,w1,P7030,2.4
12:51:23.48,12:51:25.52,cam2,w1,P7033,2.04
13:02:08.56,13:02:09.24,cam2,w3,P7647,0.68
13:02:09.60,13:02:10.56,cam2,w3,P7649,0.96
13:02:11.40,13:02:13.76,cam2,w3,P7630,2.36
13:02:35.84,13:02:38.28,cam2,w1,P7686,2.44
13:02:52.84,13:02:54.20,cam2,w2,P7673,1.36
13:06:00.96,13:06:06.36,cam2,w3,P7857,5.4
13:06:13.60,13:06:14.72,cam2,w2,P7858,1.12
13:06:15.16,13:06:27.16,cam2,w2,P7870,12.0
13:07:50.80,13:07:53.80,cam2,w1,P7917,3.0
13:08:02.76,13:08:03.64,cam2,w1,P7932,0.88
13:08:03.88,13:08:04.88,cam2,w1,P7932,1.0
