time,camera_id,people,workers,customers,counter_people,store_hall_people,global_workers
09:00:00.08,cam1,0,0,0,0,0,0
09:00:00.08,cam2,0,0,0,0,0,0
09:00:00.08,cam3,1,0,1,0,0,0
09:00:26.59,cam1,1,0,1,0,1,0
09:00:36.08,cam2,0,0,0,0,0,0
09:00:20.79,cam3,1,0,1,0,0,0
09:01:06.92,cam2,0,0,0,0,0,1
09:00:53.10,cam1,1,1,0,0,1,1
09:00:39.83,cam3,1,0,1,0,0,1
09:01:34.44,cam2,1,0,1,1,0,0
09:01:12.98,cam1,0,0,0,0,0,0
09:01:01.18,cam3,1,0,1,0,0,0
09:01:55.76,cam2,0,0,0,0,0,0
09:01:31.53,cam1,1,0,1,0,1,0
09:01:19.58,cam3,3,0,3,0,1,0
09:02:16.68,cam2,0,0,0,0,0,0
09:01:59.49,cam1,2,0,2,0,2,0
09:01:36.57,cam3,2,0,2,0,1,0
09:02:39.72,cam2,1,0,1,1,0,0
09:02:18.60,cam1,1,0,1,0,1,0
09:01:54.45,cam3,2,0,2,0,1,0
09:03:00.68,cam2,0,0,0,2,0,1
09:02:43.79,cam1,1,0,1,0,1,1
09:02:13.08,cam3,3,1,2,0,2,1
09:03:12.54,cam1,0,0,0,0,0,2
09:03:22.56,cam2,1,1,0,2,0,2
09:02:31.68,cam3,2,0,2,0,1,1
09:03:38.90,cam1,0,0,0,0,1,1
09:03:43.92,cam2,0,0,0,1,0,1
09:02:51.15,cam3,3,0,3,0,2,1
09:04:05.28,cam2,0,0,0,0,0,0
09:04:15.49,cam1,1,0,1,0,1,0
09:03:09.27,cam3,2,0,2,0,1,0
09:04:31.00,cam2,0,0,0,0,0,2
09:04:43.88,cam1,1,1,0,0,1,2
09:03:27.34,cam3,3,1,2,0,2,2
09:04:54.68,cam2,0,0,0,0,0,1
09:05:12.35,cam1,0,0,0,0,0,1
09:03:44.61,cam3,2,1,1,0,1,1
09:05:12.12,cam2,0,0,0,0,0,1
09:05:41.74,cam1,0,0,0,0,0,1
09:04:00.41,cam3,2,1,1,0,1,1
09:06:08.73,cam1,0,0,0,0,0,0
09:05:28.64,cam2,0,0,0,0,0,0
09:04:15.65,cam3,1,0,1,0,1,0
09:05:45.96,cam2,0,0,0,0,0,1
09:06:38.40,cam1,0,0,0,0,0,1
09:04:32.72,cam3,2,1,1,0,1,1
09:06:05.88,cam2,0,0,0,0,0,0
09:07:04.84,cam1,0,0,0,0,0,0
09:04:52.32,cam3,2,0,2,0,1,0
09:06:28.08,cam2,0,0,0,0,0,0
09:07:35.79,cam1,0,0,0,0,0,0
09:05:10.79,cam3,2,0,2,0,1,0
09:06:49.92,cam2,0,0,0,0,0,1
09:08:10.22,cam1,0,0,0,0,0,1
09:05:30.22,cam3,2,1,1,0,1,1
09:07:13.56,cam2,0,0,0,0,0,1
09:08:39.49,cam1,0,0,0,0,1,1
09:05:49.82,cam3,2,0,2,0,1,1
09:07:35.36,cam2,0,0,0,0,0,1
09:09:14.64,cam1,0,0,0,0,0,1
09:06:08.69,cam3,2,1,1,0,1,1
09:07:57.60,cam2,0,0,0,0,0,0
09:09:49.59,cam1,0,0,0,0,0,0
09:06:27.77,cam3,2,0,2,0,1,0
09:08:25.92,cam2,0,0,0,0,0,1
09:10:20.42,cam1,0,0,0,0,1,1
09:06:47.32,cam3,2,1,1,0,1,1
09:08:49.20,cam2,1,0,1,1,0,1
09:10:53.17,cam1,0,0,0,0,0,1
09:07:06.00,cam3,2,1,1,0,1,1
09:09:11.64,cam2,0,0,0,0,0,0
09:11:25.64,cam1,0,0,0,0,1,0
09:07:25.19,cam3,2,0,2,0,1,0
09:09:40.68,cam2,0,0,0,0,0,0
09:11:52.27,cam1,0,0,0,0,0,0
09:07:45.70,cam3,1,0,1,0,0,0
09:10:16.68,cam2,0,0,0,0,0,1
09:12:19.38,cam1,0,0,0,0,1,1
09:08:06.70,cam3,2,1,1,0,1,1
09:10:49.56,cam2,0,0,0,0,0,0
09:12:46.14,cam1,0,0,0,0,1,0
09:08:28.17,cam3,2,0,2,0,1,0
09:11:27.60,cam2,0,0,0,0,0,1
09:13:13.13,cam1,0,0,0,0,0,1
09:08:48.45,cam3,2,1,1,0,1,1
09:12:01.36,cam2,0,0,0,0,0,1
09:13:44.12,cam1,0,0,0,0,0,1
09:09:08.08,cam3,2,1,1,0,1,1
09:12:24.52,cam2,0,0,0,0,0,0
09:14:16.87,cam1,0,0,0,0,0,0
09:09:27.52,cam3,2,0,2,0,1,0
09:12:47.20,cam2,0,0,0,0,0,0
09:14:46.78,cam1,1,0,1,0,2,0
09:09:48.39,cam3,1,0,1,0,0,0
09:13:10.24,cam2,0,0,0,0,0,0
09:15:14.49,cam1,0,0,0,0,0,0
09:10:09.98,cam3,2,0,2,0,0,0
09:13:41.20,cam2,0,0,0,0,0,0
09:15:47.48,cam1,0,0,0,0,0,0
09:10:29.74,cam3,1,0,1,0,0,0
09:14:11.24,cam2,0,0,0,0,0,0
09:16:23.23,cam1,0,0,0,0,0,0
09:10:51.21,cam3,1,0,1,0,0,0
09:14:33.80,cam2,0,0,0,0,0,0
09:17:01.26,cam1,0,0,0,0,0,0
09:11:12.52,cam3,1,0,1,0,0,0
09:15:00.56,cam2,0,0,0,0,0,1
09:17:35.81,cam1,0,0,0,0,2,1
09:11:33.00,cam3,1,0,1,0,0,1
09:15:22.84,cam2,0,0,0,1,0,0
09:18:05.40,cam1,0,0,0,0,0,0
09:11:53.75,cam3,1,0,1,0,0,0
09:15:43.72,cam2,1,1,0,1,0,2
09:18:42.71,cam1,0,0,0,0,0,2
09:12:12.67,cam3,2,1,1,0,1,2
09:19:14.74,cam1,0,0,0,0,0,1
09:16:04.60,cam2,0,0,0,0,0,1
09:12:32.02,cam3,3,1,2,0,2,1
09:19:40.70,cam1,0,0,0,0,2,1
09:16:26.92,cam2,0,0,0,0,0,1
09:12:51.38,cam3,2,1,1,0,1,1
09:20:10.73,cam1,0,0,0,0,0,1
09:16:48.72,cam2,0,0,0,0,0,1
09:13:10.21,cam3,2,1,1,0,1,1
09:17:12.00,cam2,0,0,0,0,0,1
09:20:36.12,cam1,1,0,1,0,2,1
09:13:30.84,cam3,2,0,2,0,1,1
09:17:37.36,cam2,0,0,0,0,0,0
09:20:58.51,cam1,0,0,0,0,0,0
09:13:52.56,cam3,2,0,2,0,1,0
09:18:04.48,cam2,0,0,0,0,0,1
09:21:27.54,cam1,0,0,0,0,0,1
09:14:12.31,cam3,3,1,2,0,2,1
09:18:39.52,cam2,0,0,0,0,0,1
09:21:57.02,cam1,0,0,0,0,0,1
09:14:33.11,cam3,3,1,2,0,2,1
09:19:09.56,cam2,0,0,0,0,0,0
09:22:31.33,cam1,0,0,0,0,0,0
09:14:53.14,cam3,3,0,3,0,1,0
09:19:35.12,cam2,0,0,0,0,0,1
09:22:55.20,cam1,0,0,0,0,2,1
09:15:12.94,cam3,3,1,2,0,2,1
09:20:03.84,cam2,0,0,0,0,0,1
09:23:26.95,cam1,0,0,0,0,1,1
09:15:32.97,cam3,2,1,1,0,1,1
09:20:35.68,cam2,0,0,0,0,0,0
09:23:52.30,cam1,0,0,0,0,0,0
09:15:52.88,cam3,2,0,2,0,1,0
09:20:58.56,cam2,1,1,0,1,0,1
09:24:17.49,cam1,0,0,0,0,0,1
09:16:12.80,cam3,2,1,1,0,1,1
09:21:18.08,cam2,0,0,0,0,0,1
09:24:46.41,cam1,0,0,0,0,0,1
09:16:32.55,cam3,2,1,1,0,1,1
09:21:40.40,cam2,0,0,0,0,0,1
09:25:15.44,cam1,1,0,1,0,1,1
09:16:52.39,cam3,2,1,1,0,1,1
09:22:08.64,cam2,0,0,0,0,0,1
09:25:46.87,cam1,0,0,0,0,1,1
09:17:11.98,cam3,2,1,1,0,1,1
09:22:35.40,cam2,0,0,0,0,0,0
09:26:21.06,cam1,0,0,0,0,0,0
09:17:32.57,cam3,1,0,1,0,0,0
09:22:55.40,cam2,0,0,0,0,0,1
09:26:55.81,cam1,0,0,0,0,0,1
09:17:52.97,cam3,3,1,2,0,2,1
09:27:34.68,cam1,0,0,0,0,0,0
09:23:26.96,cam2,1,0,1,1,0,0
09:18:13.44,cam3,3,0,3,0,1,0
09:28:07.95,cam1,0,0,0,0,0,0
09:23:46.12,cam2,0,0,0,1,0,0
09:18:33.72,cam3,2,0,2,0,1,0
09:28:42.14,cam1,0,0,0,0,0,0
09:24:06.44,cam2,0,0,0,0,0,0
09:18:53.63,cam3,1,0,1,0,0,0
09:29:12.01,cam1,0,0,0,0,0,1
