time_start,time_end,camera_id,person_id,role,identity,zone,event_type,duration_seconds
09:00:05.96,09:00:27.31,cam1,P0002,customer,identifying,store_hall,track_end,21.4
09:00:18.19,09:00:28.75,cam1,P0003,customer,identifying,store_hall,track_end,10.6
09:00:26.35,09:00:38.71,cam1,P0004,customer,identifying,store_hall,track_end,12.4
09:00:30.75,09:00:45.07,cam3,P0005,customer,identifying,store_hall,track_end,14.3
09:00:34.03,09:01:01.38,cam3,P0006,customer,identifying,store_hall,track_end,27.4
09:00:37.91,09:01:04.86,cam3,P0008,customer,identifying,store_hall,track_end,26.9
09:00:47.83,09:01:34.17,cam1,P0007,worker,w1,store_hall,track_end,46.4
09:01:34.20,09:01:45.92,cam2,P0009,customer,identifying,counter,track_end,11.7
09:01:06.22,09:01:48.41,cam3,P0011,customer,identifying,store_hall,track_end,42.2
09:01:13.10,09:01:49.37,cam1,P0010,worker,w1,store_hall,track_end,36.3
09:01:27.61,09:01:51.77,cam1,P0013,customer,identifying,store_hall,track_end,24.1
09:01:15.94,09:01:28.97,cam3,P0014,customer,identifying,store_hall,track_end,13.0
09:01:16.30,09:01:53.57,cam3,P0015,customer,identifying,store_hall,track_end,37.3
09:01:14.74,09:01:30.45,cam3,P0012,customer,identifying,other,track_end,15.7
09:01:29.17,09:01:54.29,cam1,P0016,customer,identifying,store_hall,track_end,25.1
09:01:18.22,09:01:31.05,cam3,P0018,customer,identifying,other,track_end,12.8
09:01:18.58,09:01:55.01,cam3,P0019,customer,identifying,other,track_end,36.4
09:01:31.29,09:01:58.85,cam1,P0021,customer,identifying,store_hall,track_end,27.6
09:01:17.02,09:01:40.21,cam3,P0017,customer,identifying,store_hall,track_end,23.2
09:01:18.82,09:01:25.98,cam3,P0020,customer,identifying,other,zone_exit,7.2
09:01:53.41,09:02:11.12,cam1,P0023,customer,identifying,store_hall,track_end,17.7
09:01:25.98,09:01:31.57,cam3,P0020,customer,identifying,store_hall,zone_exit,5.6
09:01:25.38,09:01:54.37,cam3,P0022,customer,identifying,store_hall,track_end,29.0
09:01:54.13,09:02:11.60,cam1,P0025,customer,identifying,store_hall,track_end,17.5
