time_enter,time_exit,camera_id,person_id,role,identity,dwell_seconds
09:00:00.08,09:00:55.54,cam1,P0001,worker,w1,55.5
09:00:05.36,09:00:42.71,cam3,P0003,customer,unknown,37.4
09:00:20.75,09:01:20.78,cam1,P0004,worker,w1,60.0
09:00:41.47,09:01:31.21,cam1,P0005,worker,w3,49.8
09:00:45.11,09:01:28.09,cam3,P0006,customer,unknown,43.0
09:01:26.44,09:02:03.44,cam2,P0008,worker,w3,37.0
09:01:36.61,09:02:36.04,cam3,P0010,customer,unknown,59.4
09:01:16.82,09:02:52.87,cam3,P0009,customer,unknown,96.0
09:02:26.76,09:03:38.10,cam3,P0011,customer,unknown,71.3
09:00:50.51,09:03:19.78,cam3,P0007,worker,w3,149.3
09:08:10.30,09:08:55.53,cam1,P0014,customer,identifying,45.2
09:03:19.78,09:09:10.52,cam3,P0013,worker,w3,350.7
09:08:11.30,09:09:30.24,cam1,P0015,worker,w1,78.9
09:05:50.50,09:09:30.24,cam3,P0015,worker,w1,219.7
09:06:13.17,09:10:21.98,cam3,P0016,customer,unknown,248.8
09:06:13.65,09:10:22.22,cam3,P0017,customer,unknown,248.6
09:08:27.52,09:10:42.80,cam2,P0019,worker,w1,135.3
09:06:31.85,09:09:42.19,cam3,P0020,customer,unknown,190.3
09:07:50.91,09:11:14.33,cam3,P0021,customer,unknown,203.4
09:11:59.52,09:12:51.34,cam1,P0022,worker,w1,51.8
09:06:24.49,09:14:05.84,cam3,P0018,worker,w3,461.4
09:13:08.92,09:15:47.96,cam2,P0023,customer,identifying,159.0
09:17:03.63,09:17:36.50,cam1,P0025,customer,identifying,32.9
09:10:46.06,09:15:50.41,cam3,P0024,worker,w3,304.4
09:11:37.92,09:18:16.21,cam3,P0026,customer,unknown,398.3
09:11:55.08,09:18:44.36,cam3,P0027,worker,w3,409.3
09:14:41.19,09:15:14.90,cam3,P0029,customer,unknown,33.7
09:16:16.12,09:24:31.46,cam3,P0030,customer,unknown,495.3
09:17:24.02,09:23:41.28,cam3,P0034,customer,identifying,377.2
09:18:39.76,09:25:19.29,cam3,P0035,customer,unknown,399.5
09:24:45.74,09:25:55.88,cam1,P0033,worker,w1,70.1
09:20:00.06,09:27:04.62,cam3,P0036,customer,identifying,424.6
09:20:44.73,09:29:59.09,cam3,P0037,customer,unknown,554.4
09:16:28.36,09:30:26.20,cam3,P0031,worker,w1,837.8
09:21:16.16,09:30:57.27,cam3,P0038,customer,unknown,581.1
09:21:42.71,09:31:12.59,cam3,P0041,customer,identifying,569.9
09:21:19.88,09:22:31.02,cam3,P0039,worker,w3,71.1
09:31:31.94,09:31:52.62,cam1,P0046,customer,identifying,20.7
09:31:46.06,09:32:19.49,cam1,P0047,customer,unknown,33.4
09:22:11.78,09:32:23.65,cam3,P0044,worker,w1,611.9
09:28:53.64,09:32:45.32,cam2,P0045,worker,w1,231.7
09:23:18.40,09:30:30.48,cam3,P0050,customer,unknown,432.1
09:30:14.84,09:30:46.32,cam2,P0051,customer,unknown,31.5
09:23:11.12,09:24:08.47,cam3,P0049,customer,unknown,57.3
09:30:53.04,09:34:17.52,cam2,P0052,customer,identifying,204.5
09:33:48.70,09:34:38.53,cam1,P0053,customer,unknown,49.8
09:23:08.85,09:25:11.01,cam3,P0048,worker,w1,122.2
09:31:54.56,09:32:26.72,cam2,P0054,worker,w1,32.2
09:26:08.83,09:26:50.18,cam3,P0056,customer,unknown,41.4
09:26:23.83,09:27:06.02,cam3,P0057,customer,unknown,42.2
09:36:16.44,09:40:47.16,cam2,P0063,customer,identifying,270.7
09:39:47.76,09:41:14.42,cam1,P0061,worker,w3,86.7
09:40:02.36,09:41:16.82,cam1,P0062,worker,w3,74.5
09:30:42.04,09:42:40.19,cam3,P0065,customer,unknown,718.2
09:27:17.06,09:37:46.24,cam3,P0058,worker,w3,629.2
09:29:17.42,09:31:44.50,cam3,P0060,customer,unknown,147.1
09:42:59.35,09:43:32.94,cam1,P0066,customer,identifying,33.6
09:43:00.31,09:43:41.58,cam1,P0055,worker,w1,41.3
09:32:19.76,09:43:42.32,cam2,P0055,worker,w1,682.6
09:31:47.62,09:32:22.09,cam3,P0068,customer,unknown,34.5
09:38:30.96,09:44:33.84,cam2,P0071,customer,identifying,362.9
09:44:01.49,09:44:39.20,cam1,P0070,worker,w1,37.7
09:32:54.84,09:33:16.83,cam3,P0072,customer,identifying,22.0
09:37:53.36,09:39:41.04,cam2,P0067,worker,w3,107.7
09:34:30.37,09:47:59.62,cam3,P0075,worker,w3,809.2
09:42:28.96,09:48:24.68,cam2,P0076,customer,identifying,355.7
09:31:50.14,09:48:52.05,cam3,P0069,worker,w3,1021.9
09:48:57.21,09:49:35.36,cam1,P0079,customer,unknown,38.1
09:36:14.10,09:44:45.36,cam3,P0080,customer,unknown,511.2
09:35:46.03,09:37:06.33,cam3,P0078,worker,w3,80.3
09:36:51.09,09:45:09.19,cam3,P0083,customer,unknown,498.1
09:34:26.09,09:37:50.08,cam3,P0074,customer,unknown,204.0
