time_start,time_end,camera_id,worker_id,customer_id,duration_seconds
10:23:22.64,10:23:25.04,cam2,w1,P0174,2.4
10:40:16.16,10:40:18.64,cam2,w2,P0246,2.48
10:52:00.72,10:52:02.40,cam2,w3,P0291,1.68
10:52:29.60,10:52:30.20,cam2,w3,P0293,0.6
10:52:30.44,10:52:33.56,cam2,w3,P0293,3.12
10:55:45.28,10:55:46.00,cam2,w1,P0308,0.72
10:55:50.44,10:55:51.44,cam2,w1,P0309,1.0
11:04:55.84,11:04:56.92,cam2,w1,P0350,1.08
11:09:53.96,11:09:56.56,cam2,w1,P0368,2.6
11:12:45.72,11:12:47.40,cam2,w3,P0379,1.68
11:15:02.96,11:15:05.48,cam2,w3,P0386,2.52
11:15:09.44,11:15:10.04,cam2,w3,P0387,0.6
11:15:10.32,11:15:11.16,cam2,w3,P0387,0.84
11:15:11.40,11:15:12.00,cam2,w3,P0387,0.6
11:15:15.40,11:15:16.36,cam2,w3,P0387,0.96
11:18:47.16,11:18:49.64,cam2,w3,P0393,2.48
11:22:50.16,11:22:51.12,cam2,w3,P0410,0.96
11:25:21.88,11:25:22.52,cam2,w2,P0420,0.64
11:34:05.80,11:34:07.00,cam2,w3,P0458,1.2
11:40:06.56,11:40:08.00,cam2,w1,P0485,1.44
11:49:13.68,11:49:15.00,cam2,w2,P0522,1.32
11:50:53.76,11:50:55.88,cam2,w2,P0526,2.12
11:53:29.36,11:53:30.32,cam2,w2,P0534,0.96
11:53:30.92,11:53:34.04,cam2,w2,P0534,3.12
11:57:31.72,11:57:32.64,cam2,w2,P0552,0.92
11:57:41.84,11:57:42.68,cam2,w2,P0550,0.84
12:00:33.12,12:00:33.84,cam2,w2,P0570,0.72
12:02:34.80,12:02:37.16,cam2,w2,P0581,2.36
12:02:37.88,12:02:39.08,cam2,w2,P0581,1.2
12:02:39.44,12:02:42.32,cam2,w2,P0581,2.88
12:02:44.60,12:02:46.36,cam2,w2,P0581,1.76
12:06:24.00,12:06:25.44,cam2,w3,P0595,1.44
12:10:25.60,12:10:27.08,cam2,w1,P0612,1.48
